[2026-04-27T07:09:22] STARTUP | condition=system starting
[2026-04-27T07:10:53] SHUTDOWN | condition=manual
[2026-04-27T07:19:28] STARTUP | condition=system starting
[2026-04-27T07:27:33] ANOMALY_DETECTED | 216.180.246.126 | condition=zscore=4.04 | rate=0.03>0.01 | error_surge | rate=0.03 | baseline=0.00
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=5.02 | rate=5.02 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=5.03 | rate=5.03 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=5.05 | rate=5.05 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.07 | rate=5.07 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.08 | rate=5.08 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.10 | rate=5.10 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.12 | rate=5.12 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.13 | rate=5.13 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.15 | rate=5.15 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.17 | rate=5.17 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.18 | rate=5.18 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.20 | rate=5.20 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.22 | rate=5.22 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.23 | rate=5.23 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.25 | rate=5.25 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.27 | rate=5.27 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.28 | rate=5.28 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.30 | rate=5.30 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.32 | rate=5.32 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.33 | rate=5.33 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.35 | rate=5.35 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.37 | rate=5.37 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.38 | rate=5.38 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.40 | rate=5.40 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.42 | rate=5.42 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.43 | rate=5.43 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.45 | rate=5.45 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.47 | rate=5.47 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.48 | rate=5.48 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.50 | rate=5.50 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.52 | rate=5.52 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.53 | rate=5.53 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.55 | rate=5.55 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.57 | rate=5.57 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.58 | rate=5.58 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.60 | rate=5.60 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.62 | rate=5.62 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.63 | rate=5.63 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.65 | rate=5.65 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.67 | rate=5.67 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.68 | rate=5.68 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.70 | rate=5.70 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.72 | rate=5.72 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.73 | rate=5.73 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.75 | rate=5.75 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.77 | rate=5.77 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.78 | rate=5.78 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.80 | rate=5.80 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.82 | rate=5.82 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.83 | rate=5.83 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.85 | rate=5.85 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.87 | rate=5.87 | baseline=0.75
